Airport Identifier,FBO Name,City,State,0 - Jet A Retail,1 - CAA Price 1-500,2 - CAA Price 501-1000,3 - CAA Price 1001-1500,4 - CAA Price 1501-2000,5 - CAA Price 2001-2500,6 - CAA Price 2501 or more,7 - CAA Price 3501-4500,8 - CAA Price 4501-5500,9 - CAA Price 5501 or more
KRBW,Lowcountry Regional Airport,Walterboro,SC,5.89,4.98,4.98,4.98,4.98,4.98,4.98,,,
KABR,Hangar 9,Aberdeen,SD,5.00,3.92,3.76,3.73,3.71,3.68,3.66,,,
KATY,"ATY Aviation, Inc.",Watertown,SD,6.10,3.88,3.76,3.71,3.65,3.59,3.59,,,
KFSD,Maverick Air Center,Sioux Falls,SD,5.22,3.88,3.76,3.46,3.40,3.21,3.21,,,
KSPF,"Eagle Aviation, LLC.",Spearfish,SD,5.55,4.25,4.22,4.19,4.19,4.19,4.19,,,
0A9,Elizabethton Municipal Airport,Elizabethton,TN,4.76,4.46,4.46,4.36,4.36,4.26,4.26,,,
KCHA,Wilson Air Center,Chattanooga,TN,6.95,5.18,5.12,5.07,5.07,5.02,5.02,,,
KCSV,Azure Flight Support,Crossville,TN,4.99,3.90,3.90,3.80,3.80,3.70,3.70,,,
KJWN,Contour Flight Support,Nashville,TN,6.64,5.46,5.46,5.35,5.35,5.30,5.30,,,
KMEM,Wilson Air Center,Memphis,TN,6.22,5.02,4.91,4.78,4.78,4.78,4.78,,,
KMQY,Azure Flight Support,Smyrna,TN,6.05,4.71,4.71,4.58,4.58,4.52,4.52,,,
KRZR,Cleveland Regional Jetport,Cleveland,TN,5.65,4.26,4.26,4.10,4.10,4.03,4.03,,,
KSRB,Upper Cumberland Regional Jet Center,Sparta,TN,4.53,4.11,4.01,3.85,3.85,3.85,3.85,,,
KTHA,Tullahoma Municipal Airport,Tullahoma,TN,5.07,4.68,4.63,4.53,4.42,4.42,4.42,,,
KXNX,Jet Access,Gallatin,TN,5.29,4.84,4.73,4.63,4.58,4.52,4.46,,,
M54,Direct Flight Solutions,Lebanon,TN,6.25,4.05,3.94,3.84,3.73,3.73,3.73,,,
F05,Wilbarger County Airport,Vernon,TX,4.25,3.75,3.75,3.75,3.75,3.75,3.75,,,
F82,ClearTech Aviation,Lubbock,TX,5.54,4.45,4.35,4.25,4.14,4.09,4.04,,,
H81,Redline Aviation,Amarillo,TX,3.59,3.49,3.49,3.49,3.49,3.49,3.49,,,
KABI,Freeman Jet Center Abilene,Abilene,TX,6.22,4.92,4.71,4.50,4.45,4.29,4.19,,,
KACT,Freeman Jet Center,Waco,TX,6.18,4.52,4.22,4.11,4.11,4.11,4.11,,,
KADS,Million Air,Addison,TX,5.85,4.27,4.11,4.11,4.11,3.85,3.85,,,
KAUS,Million Air Austin,Austin,TX,9.47,4.16,4.16,4.14,4.14,4.12,4.12,,,
KAXH,Houston Southwest Airport,Arcola,TX,4.76,3.96,3.90,3.78,3.66,3.36,3.36,,,
KCDS,Boedeker Flying Service,Childress,TX,4.51,4.31,4.31,4.31,4.31,4.31,4.31,,,
KCRP,Sterling Air Service,Corpus Christie,TX,5.95,4.65,4.65,4.65,4.65,4.65,4.65,,,
KCXO,General Aviation Services,Conroe,TX,5.09,3.75,3.75,3.75,3.75,3.75,3.75,,,
KDAL,Business Jet Center,Dallas,TX,6.61,4.20,4.00,3.83,3.71,3.71,3.71,,,
KDHT,Starlink Aviation,Dalhart,TX,5.53,4.48,4.43,4.38,4.33,4.33,4.33,,,
KELP,Million Air,El Paso,TX,7.24,4.65,4.59,4.53,4.46,4.40,4.40,,,
KFTW,Texas Jet,Fort Worth,TX,7.54,3.80,3.80,3.80,3.78,3.78,3.78,,,
KGKY,Arlington Air Center,Arlington,TX,5.15,3.95,3.70,3.70,3.45,3.45,3.45,,,
KGTU,Cutter Aviation,Georgetown,TX,6.73,5.43,5.08,4.68,4.68,4.68,4.68,,,
